Report Date,Health District,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
5/3/2020,Southside,Not Reported,61,9,2
5/3/2020,Chesapeake,White,99,21,1
5/3/2020,New River,Other,0,0,0
5/3/2020,Norfolk,Black or African American,128,28,2
5/3/2020,Central Shenandoah,Other,126,6,1
5/3/2020,Southside,Other,21,0,2
5/3/2020,Pittsylvania-Danville,Other,0,0,0
5/3/2020,Cumberland Plateau,White,16,2,0
5/3/2020,Rappahannock Rapidan,Black or African American,11,2,0
5/3/2020,Fairfax,Not Reported,1193,78,53
5/3/2020,Chesapeake,Not Reported,52,3,1
5/3/2020,Thomas Jefferson,White,183,23,8
5/3/2020,Richmond,Other,47,10,0
5/3/2020,Peninsula,Black or African American,88,27,7
5/3/2020,Henrico,Other,51,5,3
5/3/2020,Cumberland Plateau,Black or African American,11,0,0
5/3/2020,Loudoun,Other,168,28,2
5/3/2020,Crater,Other,2,1,1
5/3/2020,Arlington,Black or African American,69,19,9
5/3/2020,Alexandria,Black or African American,143,33,4
5/3/2020,Richmond,Black or African American,222,49,15
5/3/2020,Lord Fairfax,Not Reported,49,1,0
5/3/2020,Fairfax,Black or African American,328,86,9
5/3/2020,Thomas Jefferson,Black or African American,96,35,5
5/3/2020,West Piedmont,White,33,4,0
5/3/2020,Rappahannock,Not Reported,223,24,1
5/3/2020,Central Shenandoah,Not Reported,161,1,1
5/3/2020,Peninsula,White,199,63,17
5/3/2020,Rappahannock Rapidan,White,137,15,4
5/3/2020,Prince William,White,494,108,17
5/3/2020,New River,Not Reported,27,1,0
5/3/2020,Chesterfield,Not Reported,284,3,7
5/3/2020,Alleghany,Other,1,0,0
5/3/2020,Lenowisco,White,31,13,1
5/3/2020,Western Tidewater,White,126,18,10
5/3/2020,Hampton,Other,5,1,0
5/3/2020,Alleghany,White,80,14,3
5/3/2020,Central Virginia,Not Reported,96,3,0
5/3/2020,Eastern Shore,Other,16,1,1
5/3/2020,Crater,Black or African American,124,41,6
5/3/2020,Mount Rogers,Black or African American,0,0,0
5/3/2020,Central Shenandoah,White,508,37,15
5/3/2020,Southside,White,37,9,5
5/3/2020,Prince William,Other,462,78,4
5/3/2020,Arlington,Not Reported,617,67,7
5/3/2020,West Piedmont,Black or African American,5,1,0
5/3/2020,Peninsula,Other,15,6,1
5/3/2020,Norfolk,Other,10,2,0
5/3/2020,Lord Fairfax,Black or African American,20,2,0
5/3/2020,Mount Rogers,Not Reported,5,1,0
5/3/2020,Central Virginia,Black or African American,11,0,0
5/3/2020,West Piedmont,Other,2,1,1
5/3/2020,Portsmouth,White,40,7,1
5/3/2020,Thomas Jefferson,Not Reported,8,0,0
5/3/2020,Three Rivers,Not Reported,70,4,1
5/3/2020,Virginia Beach,Black or African American,95,16,2
5/3/2020,Prince William,Black or African American,214,41,11
5/3/2020,Loudoun,Not Reported,317,4,2
5/3/2020,Loudoun,White,394,57,12
5/3/2020,Peninsula,Not Reported,61,3,0
5/3/2020,Pittsylvania-Danville,Black or African American,21,6,0
5/3/2020,Henrico,White,360,59,56
5/3/2020,Richmond,White,80,12,1
5/3/2020,Southside,Black or African American,21,7,1
5/3/2020,Chickahominy,White,106,27,11
5/3/2020,Thomas Jefferson,Other,24,2,0
5/3/2020,Virginia Beach,Other,43,16,2
5/3/2020,Central Shenandoah,Black or African American,42,2,1
5/3/2020,Chesterfield,White,186,23,16
5/3/2020,Central Virginia,White,38,5,1
5/3/2020,Rappahannock,White,194,43,8
5/3/2020,New River,White,42,8,1
5/3/2020,Mount Rogers,Other,6,1,0
5/3/2020,Crater,White,39,12,5
5/3/2020,Alleghany,Not Reported,34,1,0
5/3/2020,Arlington,Other,166,55,12
5/3/2020,Piedmont,White,71,3,2
5/3/2020,Cumberland Plateau,Other,0,0,0
5/3/2020,Pittsylvania-Danville,White,23,12,2
5/3/2020,Rappahannock Rapidan,Other,23,9,0
5/3/2020,Piedmont,Not Reported,76,3,0
5/3/2020,Portsmouth,Other,11,2,0
5/3/2020,Pittsylvania-Danville,Not Reported,7,2,0
5/3/2020,West Piedmont,Not Reported,6,0,0
5/3/2020,Norfolk,White,60,15,2
5/3/2020,Hampton,White,20,4,0
5/3/2020,Western Tidewater,Black or African American,193,30,6
5/3/2020,Prince William,Not Reported,1204,14,0
5/3/2020,Fairfax,White,1282,249,93
5/3/2020,Lenowisco,Other,1,0,0
5/3/2020,Rappahannock Rapidan,Not Reported,211,4,1
5/3/2020,Three Rivers,Black or African American,73,5,0
5/3/2020,Henrico,Black or African American,392,72,45
5/3/2020,Lenowisco,Not Reported,9,1,1
5/3/2020,Chesapeake,Other,27,5,3
5/3/2020,Crater,Not Reported,48,3,1
5/3/2020,Chickahominy,Not Reported,104,4,2
5/3/2020,Eastern Shore,Black or African American,305,19,4
5/3/2020,Alexandria,Other,146,21,1
5/3/2020,Chesterfield,Black or African American,165,27,7
5/3/2020,Roanoke,Not Reported,19,0,0
5/3/2020,Rappahannock,Black or African American,73,16,2
5/3/2020,Lord Fairfax,White,368,35,5
5/3/2020,Three Rivers,White,89,12,1
5/3/2020,Roanoke,Black or African American,13,3,0
5/3/2020,Alleghany,Black or African American,5,1,0
5/3/2020,Richmond,Not Reported,54,1,0
5/3/2020,Central Virginia,Other,1,0,0
5/3/2020,Rappahannock,Other,72,13,0
5/3/2020,Roanoke,Other,1,0,0
5/3/2020,Piedmont,Black or African American,97,17,1
5/3/2020,Chesterfield,Other,38,0,0
5/3/2020,Portsmouth,Black or African American,87,24,6
5/3/2020,Portsmouth,Not Reported,45,2,1
5/3/2020,Norfolk,Not Reported,23,0,0
5/3/2020,Eastern Shore,White,122,5,2
5/3/2020,Eastern Shore,Not Reported,91,0,0
5/3/2020,Roanoke,White,48,2,0
5/3/2020,Three Rivers,Other,11,1,0
5/3/2020,Fairfax,Other,1604,337,34
5/3/2020,Henrico,Not Reported,151,0,1
5/3/2020,Lord Fairfax,Other,58,4,0
5/3/2020,Piedmont,Other,2,0,0
5/3/2020,Lenowisco,Black or African American,0,0,0
5/3/2020,Arlington,White,254,53,18
5/3/2020,Hampton,Black or African American,75,22,1
5/3/2020,Alexandria,White,318,43,17
5/3/2020,Hampton,Not Reported,23,1,0
5/3/2020,Mount Rogers,White,84,14,4
5/3/2020,Alexandria,Not Reported,292,12,4
5/3/2020,Chickahominy,Black or African American,43,18,6
5/3/2020,Chesapeake,Black or African American,101,34,4
5/3/2020,Western Tidewater,Not Reported,107,1,1
5/3/2020,Cumberland Plateau,Not Reported,0,0,0
5/3/2020,Western Tidewater,Other,13,1,1
5/3/2020,Loudoun,Black or African American,52,6,0
5/3/2020,Virginia Beach,White,219,47,11
5/3/2020,Chickahominy,Other,5,4,0
5/3/2020,New River,Black or African American,6,1,0
5/3/2020,Virginia Beach,Not Reported,56,2,0
